初めての7人レジスタンス
end
似非原,ほげほげ,necro,necro,yudai214,yudai214,コル子11,3122,とリッパ,5678,ジャポニスタン,japo,NAORA,orange
yudai214,NAORA,necro
7
end
5
necro
yudai214,ジャポニスタン



yudai214,failure,似非原,success,ジャポニスタン,success,necro,failure

registance,spy,spy,spy

NAORA,say,teal,スパイ２回目ですが基本的に失敗一択ですねｗ,1332515012
似非原,say,navy,一応、6人部屋で建てました,1332514957
yudai214,say,black,２回目は２人はいって、片方出しそうなので白だした。それで残りの２人を白黒から黒黒にする勢いで,1332514955
似非原,say,navy,http://www45045u.sakura.ne.jp/registance/show.php?file=1332513188.dat,1332514949
NAORA,say,teal,なるほど、議論するのも楽しいなー,1332514920
似非原,say,navy,じゃあしぼって6人でやってみますか,1332514898
似非原,say,navy,まあ、拡張があると推理要素がぐんと高まるんだけどね……,1332514882
necro,say,green,あと一回やろうかなー,1332514875
似非原,say,navy,2黒だと辛いけど、それくらいのほうが推理において拮抗しそう,1332514862
yudai214,say,black,チームに入ることがすべてなゲームって感じ,1332514851
コル子11,say,purple,おつです,1332514845
NAORA,say,teal,お疲れ様でした！,1332514845
コル子11,say,purple,引き続きおねがいします,1332514835
似非原,say,navy,ほいほい、おつかれさまです＞ジャポ,1332514831
とリッパ,say,maroon,おつかれさまでしたー,1332514828
NAORA,say,teal,３人チームで２黒は詰んじゃいますよね,1332514823
似非原,say,navy,おつかれさまでした～＞とりッパ,1332514820
ジャポニスタン,say,black,ちょい、風呂入るので離脱します。また遊びたいです。,1332514820
yudai214,say,black,３連続成功が楽。で４人のところに突入したら決め打ち勝負になる。,1332514819
とリッパ,say,maroon,ここで抜けます。,1332514811
似非原,say,navy,えーと、引き続き参加される方は何人います？,1332514794
necro,say,green,二人黒入った時に、黒が白に入れる勇気が試される,1332514773
似非原,say,navy,は～い、頑張ります……,1332514767
NAORA,say,teal,似非原さん期待していますフヒヒ,1332514747
似非原,say,navy,今回は2回とも一人黒ってのが厳しかったですね,1332514736
とリッパ,say,maroon,二人白確定してれば足下固まるのかぁ。途中で黒に入れても二人黒出るし,1332514705
似非原,say,navy,ああ、結構書き直したのでバグってるw  > necro,1332514701
necro,say,green,なるほど,1332514701
NAORA,say,teal,たぶん最新３件だったかと思うので,1332514690
necro,say,green,あれ、でもトップから部屋にいくと見れるけど,1332514687
似非原,say,navy,ちょっとまだ実装待ちですね,1332514670
似非原,say,navy,ああ、過去ログかぁ,1332514659
似非原,say,navy,えーと、下にスクロールすると全部ログが出てきます,1332514652
yudai214,say,black,過去ログほしい！,1332514646
NAORA,say,teal,過去ログは出さないようになっていますか？,1332514625
yudai214,say,black,純粋に、はじめの２人を白白きめうちが確率的にベターだしうんぬん,1332514622
ジャポニスタン,say,black,しかし、よく作ったね・・,1332514619
似非原,say,navy,元がそうだから仕方ないw,1332514617
NAORA,say,teal,戦歴みたかったんですが,1332514613
コル子11,say,purple,そもそもスパイが3人もいるって…ｗ,1332514605
似非原,say,navy,厳しすぎるw,1332514600
似非原,say,navy,一人失敗が連続で出ると,1332514597
necro,say,green,7人はレジ、キツそうｗ,1332514584
コル子11,say,purple,わーーーーーーーーーー,1332514580
とリッパ,say,maroon,うわーまけたー,1332514578
似非原,say,navy,ぎゃあ,1332514577
yudai214,say,black,まぁ２黒でるんだけど,1332514575
system,warning,red,今回は、【yudai214、NAORA、necro】の方々がスパイでした。おつかれさま！,1332514563
system,warning,red,やりましたね！無事、レジスタンスを妨害し、【スパイ側の勝利】です。,1332514563
system,warning,red,【necro】が、リーダーとして選出されました。,1332514563
system,warning,red,このミッションは、2人の「失敗」への投票で、【失敗】しました。,1332514563
コル子11,say,purple,ﾀｲﾎﾟ,1332514550
似非原,say,navy,ほ～,1332514546
コル子11,say,purple,ぼくもだしかｗ,1332514538
system,warning,red,【似非原】が選んだチーム(似非原、necro、yudai214、ジャポニスタン)は信任されました。,1332514537
system,message,red,NAORAさんは、【信任】に投票しました。,1332514537
system,message,red,ジャポニスタンさんは、【信任】に投票しました。,1332514537
system,message,red,とリッパさんは、【不信任】に投票しました。,1332514537
system,message,red,コル子11さんは、【不信任】に投票しました。,1332514537
system,message,red,yudai214さんは、【不信任】に投票しました。,1332514537
system,message,red,necroさんは、【信任】に投票しました。,1332514537
system,message,red,似非原さんは、【信任】に投票しました。,1332514537
似非原,say,navy,ほうほう,1332514533
necro,say,green,ｗ,1332514516
とリッパ,say,maroon,あらかじめいっとくと不信任です,1332514499
yudai214,say,black,前半の５人のうち、僕を含めた４人以外は信任できないね,1332514495
コル子11,say,purple,レジピンチ…,1332514471
とリッパ,say,maroon,ああ、3点先取なのか,1332514457
似非原,say,navy,こうだと思う,1332514450
system,warning,red,似非原さんは、【似非原、necro、yudai214、ジャポニスタン】を、チームとして選びました。,1332514444
コル子11,say,purple,7人わけわかめ,1332514437
necro,say,green,無理ゲー,1332514416
NAORA,say,teal,似非原さん、とリッパさん、ジャポニスタンさん選出で成功かな,1332514410
yudai214,say,black,もう決め打ち２連続しか残ってないよ,1332514401
コル子11,say,purple,僕目線だと似非原さん黒ｗｗ,1332514390
似非原,say,navy,4人むずいわw,1332514365
とリッパ,say,maroon,すこししぼられた？,1332514360
